epoch,loss,seg_acc,seg_iou_score,seg_loss,val_loss,val_seg_acc,val_seg_iou_score,val_seg_loss
0,0.5976328253746033,0.8940472602844238,0.2567024827003479,0.5976328253746033,0.5173651576042175,0.919758141040802,0.32293424010276794,0.5173651576042175
1,0.5520044565200806,0.9150004982948303,0.2927548885345459,0.5520044565200806,0.5391305685043335,0.9170863032341003,0.3037758767604828,0.5391305685043335
2,0.5471974611282349,0.9169734716415405,0.29674386978149414,0.5471974611282349,0.5244720578193665,0.9212216734886169,0.3165658414363861,0.5244720578193665
3,0.5444239974021912,0.918131411075592,0.29912930727005005,0.5444239974021912,0.51985102891922,0.9234760999679565,0.32054996490478516,0.51985102891922
4,0.5424608588218689,0.9187470078468323,0.3008629083633423,0.5424608588218689,0.5341916680335999,0.9200722575187683,0.3080914318561554,0.5341916680335999
5,0.5411906242370605,0.9194039106369019,0.3019216060638428,0.5411906242370605,0.5303111672401428,0.9197486639022827,0.31146103143692017,0.5303111672401428
6,0.5399206876754761,0.9198309183120728,0.30288001894950867,0.5399206876754761,0.5394072532653809,0.9220720529556274,0.3034445345401764,0.5394072532653809
7,0.5393314361572266,0.9199897050857544,0.3035123348236084,0.5393314361572266,0.5357230305671692,0.9211657047271729,0.30673494935035706,0.5357230305671692
8,0.5379568338394165,0.9205819368362427,0.3045288324356079,0.5379568338394165,0.5242815017700195,0.923605740070343,0.31664130091667175,0.5242815017700195
9,0.538062334060669,0.9206720590591431,0.30454760789871216,0.538062334060669,0.5200517177581787,0.9233266115188599,0.32021403312683105,0.5200517177581787
10,0.5376776456832886,0.9208054542541504,0.30497071146965027,0.5376776456832886,0.5411949157714844,0.919686496257782,0.301984578371048,0.5411949157714844
11,0.5370051264762878,0.9209874868392944,0.30545130372047424,0.5370051264762878,0.5234876871109009,0.9234737753868103,0.3173103630542755,0.5234876871109009
12,0.5367498397827148,0.9210605621337891,0.3057198226451874,0.5367498397827148,0.5340718030929565,0.923423171043396,0.30806979537010193,0.5340718030929565
13,0.5365145802497864,0.9212831854820251,0.3058592975139618,0.5365145802497864,0.5357697606086731,0.9221869111061096,0.30665141344070435,0.5357697606086731
14,0.5360724925994873,0.9213961362838745,0.30622971057891846,0.5360724925994873,0.5258662104606628,0.9224900007247925,0.3152505159378052,0.5258662104606628
15,0.5361259579658508,0.9214739799499512,0.3063095510005951,0.5361259579658508,0.5215554237365723,0.9246399998664856,0.3189694285392761,0.5215554237365723
16,0.5357707738876343,0.9215039014816284,0.30658087134361267,0.5357707738876343,0.5306561589241028,0.9238603711128235,0.31102198362350464,0.5306561589241028
17,0.5353475213050842,0.9217590689659119,0.3068222403526306,0.5353475213050842,0.5268541574478149,0.9238640666007996,0.31436020135879517,0.5268541574478149
18,0.5354545712471008,0.9217193722724915,0.3068181276321411,0.5354545712471008,0.5371991991996765,0.9227413535118103,0.30532774329185486,0.5371991991996765
19,0.5351639986038208,0.9218180775642395,0.30697938799858093,0.5351639986038208,0.5317012071609497,0.9226637482643127,0.3101847767829895,0.5317012071609497
20,0.5349657535552979,0.9219048023223877,0.30723801255226135,0.5349657535552979,0.533311128616333,0.9226815104484558,0.30869075655937195,0.533311128616333
21,0.5349662899971008,0.9218628406524658,0.3072876036167145,0.5349662899971008,0.5410072803497314,0.9195672273635864,0.30218741297721863,0.5410072803497314
22,0.5348040461540222,0.9218329787254333,0.3073069453239441,0.5348040461540222,0.5269867777824402,0.9232548475265503,0.31421127915382385,0.5269867777824402
23,0.5347499847412109,0.9219532608985901,0.3074011504650116,0.5347499847412109,0.5350528359413147,0.920135498046875,0.30725666880607605,0.5350528359413147
24,0.5346470475196838,0.9219204783439636,0.3075543940067291,0.5346470475196838,0.543442964553833,0.9226371645927429,0.30002978444099426,0.543442964553833
25,0.5345402956008911,0.9219481348991394,0.3075634837150574,0.5345402956008911,0.5257853269577026,0.9237874150276184,0.31521376967430115,0.5257853269577026
26,0.5341342687606812,0.9219970703125,0.3078067898750305,0.5341342687606812,0.5345407128334045,0.9243977069854736,0.3075504004955292,0.5345407128334045
27,0.5340926647186279,0.9221920371055603,0.30787038803100586,0.5340926647186279,0.5366829037666321,0.9224655032157898,0.3057324290275574,0.5366829037666321
28,0.5339571833610535,0.9220808148384094,0.30795541405677795,0.5339571833610535,0.5350061058998108,0.9220842123031616,0.30727672576904297,0.5350061058998108
29,0.5339275002479553,0.922205924987793,0.3079986274242401,0.5339275002479553,0.5273066759109497,0.9231094121932983,0.3139176368713379,0.5273066759109497
