                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.43323,                0.59969,                0.26585,                0.88592,                0.92329,                0.83099,                0.87929,                 0.6215,                0.94245,                0.79404,                0.84533,                0.55672,                 1.2125,                 2.4804,                0.58896,                 1.7521,               0.007624,               0.007624,               0.007624
                     26,                0.42794,                0.59061,                0.26278,                0.88429,                0.91113,                0.83265,                0.88247,                0.63154,                 0.9371,                0.79494,                0.86372,                0.57307,                 1.1645,                 2.2612,                0.61966,                 1.7125,               0.007525,               0.007525,               0.007525
                     27,                0.42143,                0.58049,                0.25895,                0.88318,                0.90584,                0.80548,                0.88131,                0.60463,                0.89059,                0.77066,                0.83983,                0.55087,                 1.3082,                 2.4992,                0.67563,                 1.8026,               0.007426,               0.007426,               0.007426
                     28,                0.41632,                0.57145,                0.25606,                0.88106,                0.95006,                0.84517,                0.89374,                0.63475,                0.93426,                0.82042,                 0.8627,                0.57994,                 1.1967,                 2.3131,                0.55391,                 1.7844,               0.007327,               0.007327,               0.007327
                     29,                0.41405,                0.56979,                0.25689,                0.87958,                0.89624,                0.83124,                0.89273,                0.62538,                0.92146,                0.77815,                0.86509,                0.56975,                 1.2574,                 2.5755,                0.62414,                 1.8441,               0.007228,               0.007228,               0.007228
                     30,                0.40956,                0.56236,                0.25136,                0.87707,                0.91693,                0.79769,                0.87645,                0.62729,                0.89581,                0.79832,                0.85371,                0.57524,                 1.2018,                 2.3868,                0.63223,                 1.8205,               0.007129,               0.007129,               0.007129
                     31,                0.40259,                0.55863,                0.24903,                0.87526,                0.91746,                0.82912,                0.89046,                0.62885,                0.91028,                 0.8138,                0.86736,                0.57888,                 1.2058,                 2.3393,                0.58549,                   1.83,                0.00703,                0.00703,                0.00703
                     32,                0.39942,                0.55187,                0.24459,                0.87387,                0.93097,                0.82219,                0.89761,                0.62368,                0.94021,                0.79677,                0.86799,                0.57972,                 1.2556,                 2.2525,                0.58637,                 1.8613,               0.006931,               0.006931,               0.006931
                     33,                 0.3957,                0.54543,                0.24365,                0.87194,                0.91324,                0.84925,                0.89474,                0.62584,                0.92578,                0.80347,                0.86228,                0.56753,                 1.2135,                 2.5111,                 0.5378,                 1.8465,               0.006832,               0.006832,               0.006832
                     34,                0.39223,                0.54195,                0.24317,                0.87164,                0.93944,                0.81739,                0.89401,                0.64429,                0.93999,                0.80666,                0.87434,                 0.5926,                 1.1421,                  2.163,                0.56296,                 1.7481,               0.006733,               0.006733,               0.006733
                     35,                0.39026,                0.53702,                0.23943,                0.87053,                0.93567,                0.83586,                0.89858,                0.64868,                0.93207,                0.81564,                0.87484,                0.58855,                 1.1315,                 2.2622,                0.54838,                 1.7582,               0.006634,               0.006634,               0.006634
                     36,                0.38593,                0.53547,                0.23681,                0.86969,                 0.9341,                0.82492,                0.89727,                0.63457,                0.94551,                0.81086,                0.87561,                0.57678,                 1.2343,                  2.315,                0.57004,                 1.8444,               0.006535,               0.006535,               0.006535
                     37,                0.38389,                0.52844,                0.23562,                0.86917,                 0.9037,                0.84236,                0.89665,                0.63233,                0.93838,                0.80532,                0.87622,                0.57514,                 1.2253,                 2.4302,                0.59145,                 1.8765,               0.006436,               0.006436,               0.006436
                     38,                0.38111,                0.52746,                0.23275,                0.86837,                0.93123,                0.82037,                0.88546,                0.63986,                0.94113,                0.79914,                0.85635,                0.57192,                  1.173,                  2.521,                 0.6135,                 1.8118,               0.006337,               0.006337,               0.006337
                     39,                0.37803,                0.52007,                0.23372,                0.86618,                 0.9342,                0.81494,                0.89116,                0.63033,                0.92962,                0.79704,                0.86311,                0.56976,                 1.2156,                  2.474,                0.61615,                 1.8349,               0.006238,               0.006238,               0.006238
                     40,                0.37159,                0.51243,                0.22962,                0.86515,                0.93119,                0.81556,                0.88458,                0.63381,                0.93673,                0.79991,                0.85205,                0.57299,                 1.1967,                 2.5946,                0.60217,                  1.817,               0.006139,               0.006139,               0.006139
                     41,                0.36866,                0.50981,                0.22704,                0.86168,                0.93794,                 0.8179,                0.89266,                0.64126,                0.92495,                0.79576,                0.85708,                0.58017,                 1.1875,                 2.4986,                0.60883,                 1.7573,                0.00604,                0.00604,                0.00604
                     42,                0.36725,                0.50834,                0.22537,                0.86314,                0.92988,                 0.8328,                0.89126,                0.63803,                0.93406,                0.80595,                0.86605,                 0.5797,                  1.167,                 2.3658,                0.58691,                 1.7574,               0.005941,               0.005941,               0.005941
                     43,                0.36481,                0.50685,                0.22442,                0.86175,                0.94039,                0.82488,                0.88622,                0.63288,                0.93324,                0.80586,                0.85859,                0.56841,                 1.1993,                 2.4718,                0.59617,                 1.7531,               0.005842,               0.005842,               0.005842
                     44,                0.36475,                0.50588,                0.22492,                0.86197,                0.92679,                0.82839,                0.88787,                0.64558,                0.93752,                0.80239,                 0.8611,                0.58812,                 1.1551,                 2.3958,                0.56455,                 1.8023,               0.005743,               0.005743,               0.005743
                     45,                0.36119,                0.49843,                  0.222,                0.86157,                0.92912,                 0.8269,                0.89541,                0.64761,                0.92974,                0.79535,                0.86801,                0.58323,                 1.1798,                 2.6422,                0.57875,                    1.8,               0.005644,               0.005644,               0.005644
                     46,                  0.355,                0.49003,                0.21827,                0.86052,                0.93908,                0.82433,                0.89449,                0.64295,                0.92449,                0.80333,                0.86335,                0.57054,                 1.1801,                 2.6467,                0.56112,                 1.8252,               0.005545,               0.005545,               0.005545
                     47,                0.35491,                0.48804,                0.21812,                0.86013,                 0.9104,                0.84012,                0.89361,                0.64128,                0.92014,                 0.8091,                0.86943,                0.57194,                 1.1595,                 2.5574,                0.56397,                 1.7701,               0.005446,               0.005446,               0.005446
                     48,                0.35338,                0.48952,                0.21689,                0.85798,                 0.9139,                0.82309,                0.88704,                0.62748,                0.91397,                0.79628,                0.86528,                0.57287,                 1.2448,                 2.6017,                0.62314,                 1.8651,               0.005347,               0.005347,               0.005347
                     49,                0.34678,                0.48093,                0.21346,                0.85483,                0.92012,                0.83279,                 0.8924,                  0.638,                0.92843,                0.80508,                0.86639,                 0.5732,                 1.1992,                 2.6143,                0.59527,                 1.7839,               0.005248,               0.005248,               0.005248
                     50,                0.34685,                 0.4853,                0.21273,                 0.8579,                 0.9296,                0.82373,                0.89098,                0.63388,                0.92338,                0.80523,                0.86245,                 0.5663,                 1.2186,                 2.6316,                0.58715,                 1.8309,               0.005149,               0.005149,               0.005149
                     51,                0.34205,                0.47727,                0.20996,                0.85574,                0.93244,                0.80775,                0.89071,                0.64933,                 0.9267,                0.79701,                0.86894,                0.58394,                 1.1846,                 2.5296,                0.59525,                 1.7544,                0.00505,                0.00505,                0.00505
                     52,                0.34159,                0.47161,                0.21028,                0.85412,                0.90196,                0.82173,                0.89056,                 0.6331,                0.90794,                0.79323,                0.86511,                0.57425,                 1.2169,                 2.5705,                0.63966,                 1.7945,               0.004951,               0.004951,               0.004951
                     53,                0.34034,                0.47571,                0.20874,                0.85326,                0.91188,                 0.8365,                0.89904,                0.63587,                0.92272,                0.79219,                0.86582,                 0.5784,                 1.2304,                 2.6808,                0.59382,                  1.823,               0.004852,               0.004852,               0.004852
                     54,                0.33908,                0.46954,                0.20749,                0.85378,                0.92688,                0.83563,                0.89655,                0.64801,                0.92667,                0.80417,                0.86283,                0.57593,                 1.1688,                 2.6993,                0.52635,                 1.7548,               0.004753,               0.004753,               0.004753
                     55,                0.33629,                0.46686,                0.20749,                0.85338,                0.94322,                0.81817,                0.89124,                0.64993,                0.92909,                0.80097,                0.85829,                0.58227,                 1.1571,                 2.6724,                0.56398,                 1.7612,               0.004654,               0.004654,               0.004654
                     56,                 0.3354,                 0.4687,                0.20321,                0.85373,                0.91735,                0.83192,                0.89573,                 0.6487,                  0.935,                0.78768,                0.85957,                0.58366,                 1.1983,                 2.8833,                0.58257,                 1.7919,               0.004555,               0.004555,               0.004555
                     57,                0.33455,                0.46146,                0.20414,                0.85242,                0.94502,                 0.8112,                0.89248,                0.64484,                0.93124,                0.79905,                0.86283,                 0.5791,                 1.2095,                 2.8538,                0.58613,                 1.8328,               0.004456,               0.004456,               0.004456
                     58,                0.33054,                0.45996,                0.20312,                0.85208,                0.92411,                0.81279,                0.89103,                0.64779,                0.92793,                0.78663,                0.86539,                0.58294,                 1.1955,                 2.7489,                0.62469,                 1.7923,               0.004357,               0.004357,               0.004357
                     59,                0.32743,                0.45722,                0.19997,                0.84863,                0.90724,                0.81434,                 0.8873,                0.63705,                0.90758,                0.79061,                0.86171,                0.57397,                 1.2248,                 2.8049,                0.63847,                 1.8331,               0.004258,               0.004258,               0.004258
                     60,                0.32674,                0.45671,                 0.1991,                0.84977,                0.90247,                0.81352,                0.88388,                0.63513,                0.88792,                0.79569,                0.86031,                0.56622,                 1.2303,                 2.8781,                0.65583,                 1.8043,               0.004159,               0.004159,               0.004159
                     61,                0.32493,                0.45233,                0.19879,                0.84775,                0.87686,                0.81688,                0.88558,                0.62878,                0.87062,                0.78668,                0.86106,                 0.5677,                 1.2554,                  2.923,                0.66937,                 1.8531,                0.00406,                0.00406,                0.00406
                     62,                0.32074,                0.44997,                0.19665,                0.84716,                0.90071,                0.80248,                0.88718,                0.62871,                0.89383,                0.78178,                0.86023,                0.56239,                 1.2479,                 2.8677,                0.63943,                 1.8231,               0.003961,               0.003961,               0.003961
                     63,                0.31997,                0.44665,                0.19579,                0.84782,                 0.9079,                 0.8204,                  0.893,                 0.6417,                0.90207,                0.78832,                0.86001,                0.57156,                  1.232,                 2.8654,                0.60638,                 1.8101,               0.003862,               0.003862,               0.003862
                     64,                 0.3152,                0.44263,                0.19187,                0.84635,                0.91002,                0.82585,                0.89068,                0.63403,                0.89423,                  0.803,                0.86145,                0.57071,                 1.2397,                 2.9148,                 0.5975,                 1.8441,               0.003763,               0.003763,               0.003763
                     65,                0.31391,                0.44076,                0.19084,                0.84573,                0.92405,                 0.8107,                0.89479,                0.63715,                0.91531,                0.78297,                0.86515,                0.57399,                 1.2394,                 2.9054,                 0.5971,                 1.8457,               0.003664,               0.003664,               0.003664
                     66,                0.31154,                0.43568,                0.19117,                0.84404,                0.89652,                0.83882,                0.89246,                0.63407,                0.89074,                0.80106,                0.86424,                0.57152,                 1.2294,                 2.8767,                0.60947,                 1.8311,               0.003565,               0.003565,               0.003565
                     67,                 0.3106,                0.43494,                0.19048,                0.84588,                  0.894,                0.82315,                0.89096,                0.63039,                0.89215,                0.78226,                0.86103,                0.57062,                 1.2424,                 2.8767,                0.63794,                 1.8397,               0.003466,               0.003466,               0.003466
                     68,                0.30807,                0.43634,                0.18759,                0.84399,                 0.8952,                0.82332,                0.89017,                0.63315,                0.89105,                0.78587,                0.85839,                0.57232,                 1.2366,                 2.9079,                0.64036,                 1.8399,               0.003367,               0.003367,               0.003367
                     69,                0.30523,                0.43175,                0.18454,                0.84205,                0.91726,                0.79482,                0.89147,                 0.6358,                0.89915,                0.77173,                0.86006,                0.57231,                 1.2359,                 2.9248,                 0.6781,                 1.8273,               0.003268,               0.003268,               0.003268
                     70,                0.30555,                 0.4274,                 0.1861,                0.84247,                0.91241,                0.80531,                0.89088,                0.63865,                 0.8924,                0.78131,                0.86152,                0.57339,                 1.2286,                 2.9514,                0.68415,                 1.8322,               0.003169,               0.003169,               0.003169
                     71,                0.30515,                 0.4288,                0.18425,                0.84315,                0.91483,                0.82158,                0.89354,                0.64509,                0.89696,                0.79585,                0.86438,                0.57905,                 1.2092,                   2.97,                0.64352,                  1.805,                0.00307,                0.00307,                0.00307
                     72,                0.29996,                0.42036,                0.18162,                0.84222,                0.91971,                0.82127,                0.89212,                0.64349,                0.89752,                0.79905,                0.86233,                 0.5781,                 1.2024,                 2.9869,                0.62958,                 1.8244,               0.002971,               0.002971,               0.002971
                     73,                0.29751,                0.41809,                0.17855,                0.84136,                0.91431,                0.81093,                0.89305,                0.64249,                0.89455,                0.78787,                0.86276,                0.57617,                  1.203,                  2.964,                0.63555,                 1.7991,               0.002872,               0.002872,               0.002872
                     74,                0.29662,                0.41884,                0.17733,                0.84001,                0.91364,                0.80607,                0.89235,                0.64007,                0.89283,                0.78155,                0.86419,                0.57416,                 1.2102,                 2.9581,                0.62961,                 1.7896,               0.002773,               0.002773,               0.002773
                     75,                0.29524,                0.41651,                0.17797,                0.84127,                0.91036,                0.80919,                0.89021,                0.63737,                0.89642,                0.77971,                0.86102,                0.57478,                 1.2177,                 2.9347,                0.63356,                 1.7866,               0.002674,               0.002674,               0.002674
                     76,                0.29404,                0.41602,                0.17816,                0.83937,                0.90528,                0.81378,                0.88946,                0.64054,                0.89147,                0.78532,                0.86055,                0.57637,                 1.2186,                 2.9186,                0.64055,                 1.7889,               0.002575,               0.002575,               0.002575
                     77,                0.29166,                0.41422,                0.17452,                 0.8384,                0.90799,                0.81138,                0.88923,                0.64007,                0.88887,                0.78641,                0.86051,                0.57532,                 1.2169,                 2.8839,                0.63988,                 1.7913,               0.002476,               0.002476,               0.002476
                     78,                 0.2878,                0.40868,                0.17276,                0.83749,                0.90414,                0.81426,                0.89037,                0.64148,                0.89312,                 0.7843,                 0.8585,                0.57797,                 1.2146,                 2.8995,                0.63848,                 1.7991,               0.002377,               0.002377,               0.002377
                     79,                0.28567,                 0.4068,                0.17108,                0.83731,                0.90293,                0.81498,                0.89121,                 0.6404,                0.89392,                0.78068,                0.85964,                0.57866,                 1.2216,                  2.936,                0.63438,                  1.811,               0.002278,               0.002278,               0.002278
                     80,                0.28344,                 0.4031,                0.17071,                0.83677,                0.90559,                0.81358,                 0.8922,                0.63648,                0.89154,                0.78186,                 0.8604,                0.57676,                 1.2331,                  2.955,                0.63344,                 1.8285,               0.002179,               0.002179,               0.002179
                     81,                0.28245,                0.40135,                0.16957,                0.83772,                0.90957,                0.80926,                0.89081,                 0.6351,                0.88698,                0.78589,                0.85907,                0.57507,                 1.2414,                 2.9785,                0.64952,                 1.8391,                0.00208,                0.00208,                0.00208
                     82,                0.28185,                0.40085,                0.16806,                0.83553,                0.90814,                0.81184,                0.89088,                0.63628,                0.88819,                0.78619,                0.86006,                0.57499,                 1.2471,                 3.0091,                0.65403,                 1.8552,               0.001981,               0.001981,               0.001981
                     83,                0.27901,                0.39804,                 0.1662,                0.83586,                0.91032,                0.80928,                 0.8913,                0.63666,                0.89172,                0.78491,                0.86082,                0.57568,                 1.2464,                 3.0182,                0.65435,                 1.8556,               0.001882,               0.001882,               0.001882
                     84,                0.27779,                0.39727,                0.16455,                0.83513,                0.90511,                0.81024,                0.89014,                0.63634,                0.89412,                0.77736,                0.85827,                0.57467,                 1.2506,                 3.0236,                 0.6698,                 1.8564,               0.001783,               0.001783,               0.001783
                     85,                 0.2726,                0.38914,                0.16151,                0.83398,                0.90686,                0.80549,                0.88994,                0.63256,                0.88603,                0.78172,                0.85652,                0.57196,                 1.2599,                 3.0407,                  0.675,                 1.8675,               0.001684,               0.001684,               0.001684
                     86,                0.27455,                0.39244,                0.16277,                0.83459,                0.90417,                0.80459,                0.88665,                0.62692,                0.88304,                0.78027,                0.85343,                 0.5696,                 1.2695,                 3.0491,                0.68245,                 1.8714,               0.001585,               0.001585,               0.001585
                     87,                0.27181,                0.38804,                0.16088,                0.83202,                0.90187,                0.80453,                0.88639,                0.62517,                 0.8821,                0.77687,                0.85342,                0.57008,                 1.2792,                 3.0656,                 0.6886,                 1.8794,               0.001486,               0.001486,               0.001486
