                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                  0.606,                0.63404,                0.36849,                0.86451,                0.84445,                 0.7626,                0.81461,                0.54232,                0.84419,                0.72478,                0.80019,                  0.456,                 1.1202,                 1.5211,                0.52964,                 1.1063,               0.007624,               0.007624,               0.007624
                     26,                0.60408,                0.63734,                0.36948,                0.86266,                  0.845,                0.76324,                0.81547,                0.54277,                0.84576,                0.72156,                0.79901,                 0.4545,                 1.1201,                 1.5222,                0.52895,                 1.1064,               0.007525,               0.007525,               0.007525
                     27,                  0.602,                0.63241,                0.36812,                0.86292,                0.84588,                0.76266,                0.81509,                0.54311,                0.84003,                0.72424,                 0.7986,                0.45379,                 1.1191,                 1.5213,                0.52709,                 1.1068,               0.007426,               0.007426,               0.007426
                     28,                0.60026,                0.63168,                0.36508,                 0.8635,                0.84733,                0.75972,                0.81543,                0.54291,                0.84367,                0.72442,                0.79809,                0.45424,                 1.1194,                 1.5222,                0.52682,                 1.1094,               0.007327,               0.007327,               0.007327
                     29,                0.59968,                 0.6264,                0.36251,                0.86223,                0.84782,                0.76286,                 0.8161,                0.54288,                0.84215,                 0.7239,                0.79775,                0.45483,                 1.1192,                 1.5262,                0.52599,                 1.1095,               0.007228,               0.007228,               0.007228
                     30,                0.59681,                0.62706,                0.36354,                0.86161,                 0.8482,                0.76182,                0.81648,                0.54371,                0.84044,                0.72508,                0.79619,                0.45417,                 1.1198,                 1.5265,                0.52558,                 1.1103,               0.007129,               0.007129,               0.007129
                     31,                0.59166,                0.62196,                0.36143,                0.86022,                0.85338,                0.75922,                0.81648,                 0.5432,                0.84827,                0.72182,                0.79719,                0.45359,                 1.1194,                 1.5261,                0.52517,                 1.1108,                0.00703,                0.00703,                0.00703
                     32,                0.59129,                0.61785,                0.35909,                0.85974,                0.85587,                0.75922,                0.81676,                0.54369,                0.84462,                0.72416,                0.79705,                0.45379,                 1.1203,                 1.5261,                0.52473,                 1.1108,               0.006931,               0.006931,               0.006931
                     33,                0.58955,                0.62119,                0.35792,                0.85914,                0.84758,                0.76408,                0.81709,                0.54388,                0.84875,                0.72442,                0.79882,                0.45346,                 1.1192,                 1.5236,                0.52353,                 1.1106,               0.006832,               0.006832,               0.006832
                     34,                0.58425,                0.61263,                 0.3552,                0.85675,                0.84782,                0.76545,                0.81786,                0.54448,                0.84962,                0.72494,                0.80092,                0.45495,                 1.1196,                 1.5242,                0.52272,                 1.1109,               0.006733,               0.006733,               0.006733
                     35,                0.58466,                0.61368,                0.35422,                0.85706,                0.84871,                0.76499,                0.81912,                 0.5451,                0.84953,                0.72468,                0.80107,                0.45505,                 1.1202,                 1.5247,                 0.5219,                 1.1109,               0.006634,               0.006634,               0.006634
                     36,                0.58163,                0.61077,                0.35368,                0.85694,                0.84932,                0.76568,                0.81925,                0.54653,                0.84921,                0.72208,                0.79767,                0.45429,                 1.1192,                 1.5223,                0.52121,                 1.1106,               0.006535,               0.006535,               0.006535
                     37,                0.58005,                0.60744,                0.35119,                0.85778,                0.85532,                0.76078,                0.81866,                0.54487,                0.84865,                 0.7224,                 0.7983,                0.45366,                 1.1212,                 1.5264,                0.52166,                 1.1123,               0.006436,               0.006436,               0.006436
                     38,                 0.5775,                 0.6066,                0.35087,                0.85544,                0.85247,                0.76395,                0.81811,                 0.5454,                 0.8478,                0.72234,                0.79724,                0.45403,                 1.1214,                 1.5276,                0.52205,                  1.112,               0.006337,               0.006337,               0.006337
                     39,                0.57315,                0.60419,                0.34698,                0.85307,                0.85727,                0.75974,                0.81822,                0.54535,                0.84955,                0.72456,                 0.7973,                0.45379,                 1.1209,                 1.5285,                0.52132,                  1.113,               0.006238,               0.006238,               0.006238
                     40,                 0.5746,                0.60376,                0.34785,                0.85358,                0.85477,                0.76436,                0.81891,                0.54548,                0.84773,                0.72446,                0.79773,                 0.4537,                 1.1228,                 1.5276,                0.52091,                 1.1144,               0.006139,               0.006139,               0.006139
                     41,                0.57443,                0.60318,                0.34736,                0.85522,                0.85824,                0.76109,                0.81843,                0.54605,                0.84908,                0.72482,                 0.7992,                 0.4543,                 1.1236,                 1.5205,                0.52011,                 1.1163,                0.00604,                0.00604,                0.00604
                     42,                0.56982,                0.60086,                0.34269,                0.85301,                0.85929,                0.76135,                0.81898,                 0.5454,                 0.8506,                0.72612,                0.79899,                0.45399,                 1.1251,                  1.523,                 0.5208,                 1.1173,               0.005941,               0.005941,               0.005941
                     43,                   0.57,                0.60021,                0.34587,                0.85328,                 0.8574,                 0.7613,                0.81881,                0.54508,                0.85001,                0.72623,                0.79842,                0.45383,                  1.125,                 1.5278,                0.52089,                 1.1174,               0.005842,               0.005842,               0.005842
                     44,                0.56729,                0.59772,                0.34327,                0.85186,                0.85715,                0.75901,                0.81831,                0.54531,                 0.8487,                0.72706,                0.79693,                0.45364,                 1.1252,                 1.5312,                0.52083,                 1.1178,               0.005743,               0.005743,               0.005743
                     45,                0.56553,                0.59527,                0.34166,                0.84955,                 0.8566,                0.76156,                 0.8179,                0.54515,                0.84934,                 0.7263,                0.79927,                0.45494,                 1.1254,                 1.5351,                0.52103,                 1.1181,               0.005644,               0.005644,               0.005644
                     46,                0.56324,                 0.5951,                0.34077,                0.84948,                0.85523,                0.76109,                0.81765,                0.54503,                 0.8493,                0.72604,                0.79969,                0.45494,                 1.1252,                 1.5373,                0.52039,                 1.1173,               0.005545,               0.005545,               0.005545
                     47,                0.56147,                0.59301,                0.33694,                0.85038,                0.85747,                   0.76,                0.81777,                0.54503,                0.84913,                0.72545,                0.79873,                 0.4548,                 1.1266,                 1.5433,                 0.5215,                 1.1181,               0.005446,               0.005446,               0.005446
                     48,                0.55938,                 0.5899,                0.33713,                0.84955,                0.85824,                0.76052,                0.81958,                0.54476,                0.84766,                0.72696,                0.79927,                0.45536,                  1.128,                 1.5469,                0.52156,                 1.1201,               0.005347,               0.005347,               0.005347
                     49,                0.55946,                0.58863,                0.33986,                0.84873,                0.85965,                0.76026,                0.81999,                0.54519,                0.84628,                0.72961,                 0.7993,                0.45508,                 1.1284,                 1.5478,                0.52171,                 1.1207,               0.005248,               0.005248,               0.005248
                     50,                0.55807,                0.58937,                 0.3348,                0.84818,                0.85609,                 0.7626,                0.81967,                0.54571,                0.84642,                0.73009,                0.80015,                0.45447,                 1.1294,                 1.5495,                 0.5205,                 1.1213,               0.005149,               0.005149,               0.005149
                     51,                0.55269,                0.58387,                0.33333,                0.84764,                0.86019,                0.75714,                0.81938,                0.54575,                0.84488,                0.73117,                 0.7997,                0.45473,                 1.1307,                 1.5523,                0.51931,                 1.1228,                0.00505,                0.00505,                0.00505
                     52,                0.55047,                0.58066,                0.33222,                 0.8461,                0.85882,                0.75844,                0.82055,                 0.5464,                0.84223,                0.73117,                0.79977,                0.45447,                  1.131,                 1.5523,                0.51859,                 1.1231,               0.004951,               0.004951,               0.004951
                     53,                0.54898,                0.58246,                0.33005,                 0.8466,                0.85779,                 0.7614,                0.82049,                0.54631,                0.83872,                0.73209,                0.79964,                0.45523,                 1.1297,                 1.5526,                0.51792,                 1.1225,               0.004852,               0.004852,               0.004852
                     54,                0.54774,                0.57771,                0.32799,                0.84753,                0.85747,                0.76254,                0.82156,                0.54774,                0.83745,                0.73195,                0.79932,                0.45469,                 1.1302,                 1.5559,                0.51837,                 1.1238,               0.004753,               0.004753,               0.004753
                     55,                0.54568,                0.57698,                0.32829,                 0.8453,                0.85659,                0.76173,                0.82151,                0.54799,                0.83864,                0.73143,                0.79983,                0.45629,                   1.13,                 1.5538,                0.51834,                 1.1237,               0.004654,               0.004654,               0.004654
                     56,                0.54567,                0.57761,                0.32782,                0.84436,                0.85663,                0.76047,                0.82074,                0.54749,                0.83981,                0.73259,                0.79984,                0.45576,                 1.1308,                 1.5568,                0.51829,                 1.1251,               0.004555,               0.004555,               0.004555
                     57,                0.54493,                0.57657,                 0.3278,                0.84451,                0.85329,                0.75922,                 0.8201,                0.54716,                0.84194,                0.73117,                0.80014,                0.45561,                 1.1331,                 1.5601,                0.51812,                 1.1277,               0.004456,               0.004456,               0.004456
                     58,                0.53969,                0.57034,                0.32544,                0.84153,                0.85282,                0.76153,                0.82152,                0.54734,                0.84466,                0.72987,                0.80016,                0.45531,                 1.1343,                 1.5636,                0.51883,                 1.1288,               0.004357,               0.004357,               0.004357
                     59,                0.54054,                 0.5712,                0.32369,                0.84223,                0.85238,                0.76052,                0.82128,                0.54757,                0.84279,                0.73117,                0.80028,                0.45555,                 1.1334,                 1.5593,                0.51881,                 1.1295,               0.004258,               0.004258,               0.004258
                     60,                0.54048,                0.57084,                0.32464,                0.84071,                0.85228,                 0.7613,                0.82237,                0.54788,                0.84107,                0.72961,                0.79956,                 0.4558,                 1.1325,                 1.5555,                0.51862,                 1.1281,               0.004159,               0.004159,               0.004159
                     61,                0.53706,                0.56732,                0.32007,                 0.8401,                0.84969,                0.76078,                0.82115,                0.54769,                0.84372,                0.72753,                 0.8001,                0.45672,                 1.1339,                  1.554,                0.51896,                 1.1283,                0.00406,                0.00406,                0.00406
                     62,                0.53352,                0.56502,                0.31993,                0.84034,                0.84678,                0.76225,                0.82174,                0.54803,                 0.8394,                0.72961,                0.80087,                0.45733,                 1.1338,                 1.5503,                0.51885,                 1.1275,               0.003961,               0.003961,               0.003961
                     63,                0.53134,                0.56235,                0.31895,                0.84014,                0.84788,                0.76338,                 0.8219,                0.54819,                0.84274,                0.73077,                0.80226,                0.45802,                 1.1337,                 1.5523,                 0.5199,                 1.1267,               0.003862,               0.003862,               0.003862
                     64,                0.52861,                0.56155,                0.31551,                0.83864,                0.84722,                0.76341,                 0.8218,                0.54868,                0.84386,                0.72571,                0.80079,                0.45786,                 1.1343,                 1.5582,                0.52013,                 1.1274,               0.003763,               0.003763,               0.003763
                     65,                0.52708,                0.56084,                0.31569,                0.83798,                 0.8502,                0.76312,                0.82168,                0.54788,                0.83995,                0.72928,                0.79911,                0.45745,                 1.1364,                 1.5592,                 0.5215,                 1.1294,               0.003664,               0.003664,               0.003664
                     66,                0.52547,                0.55675,                0.31349,                0.83833,                0.85185,                0.76571,                0.82227,                0.54876,                0.83805,                0.73039,                 0.7998,                0.45649,                 1.1364,                 1.5587,                0.52097,                 1.1301,               0.003565,               0.003565,               0.003565
                     67,                0.52405,                0.55488,                0.31249,                0.83716,                0.85202,                0.76753,                0.82286,                0.55016,                0.83598,                0.73299,                0.80037,                0.45772,                 1.1349,                 1.5537,                0.52087,                 1.1298,               0.003466,               0.003466,               0.003466
                     68,                0.52171,                0.55434,                0.31153,                0.83729,                0.85123,                0.76684,                0.82316,                0.55024,                0.83554,                0.73195,                0.80113,                0.45828,                 1.1332,                 1.5507,                0.52084,                 1.1285,               0.003367,               0.003367,               0.003367
                     69,                0.51892,                0.55118,                0.31093,                0.83491,                0.84819,                0.77039,                0.82367,                0.55021,                0.82997,                0.73273,                 0.7993,                 0.4589,                 1.1327,                 1.5469,                0.52154,                 1.1275,               0.003268,               0.003268,               0.003268
                     70,                0.51808,                0.55324,                0.30838,                0.83482,                0.85059,                0.76831,                0.82432,                0.55006,                0.82988,                0.73492,                0.79901,                0.45899,                 1.1322,                 1.5461,                0.52078,                 1.1272,               0.003169,               0.003169,               0.003169
                     71,                0.51644,                0.55273,                0.30712,                 0.8353,                0.85129,                0.76675,                0.82479,                 0.5509,                0.83205,                0.73345,                0.79942,                0.45909,                 1.1311,                 1.5464,                0.52064,                 1.1264,                0.00307,                0.00307,                0.00307
                     72,                0.51401,                0.54501,                0.30501,                0.83242,                0.85081,                0.76583,                0.82504,                0.55126,                0.83399,                0.73455,                0.80183,                0.45899,                 1.1332,                 1.5472,                0.51978,                 1.1284,               0.002971,               0.002971,               0.002971
                     73,                0.51258,                0.54786,                0.30349,                 0.8331,                0.85261,                0.76477,                0.82575,                0.55122,                0.83719,                0.73328,                0.80204,                0.45884,                 1.1347,                 1.5491,                0.52057,                 1.1285,               0.002872,               0.002872,               0.002872
                     74,                0.50891,                0.53847,                0.30067,                0.83205,                0.85364,                0.76571,                0.82539,                0.55198,                0.84028,                0.72968,                0.80201,                0.45919,                 1.1362,                   1.55,                0.52108,                 1.1299,               0.002773,               0.002773,               0.002773
                     75,                0.50563,                 0.5386,                0.29721,                0.83164,                0.84859,                0.76428,                0.82439,                0.55141,                0.84206,                0.72839,                 0.8021,                0.46004,                 1.1373,                 1.5523,                0.52132,                 1.1309,               0.002674,               0.002674,               0.002674
                     76,                0.50261,                0.53678,                0.29694,                0.83132,                0.84922,                0.76511,                0.82385,                0.55136,                0.83524,                0.73209,                0.80216,                 0.4598,                 1.1381,                  1.556,                0.52256,                 1.1325,               0.002575,               0.002575,               0.002575
                     77,                0.50293,                0.53626,                0.29631,                0.82927,                0.85029,                0.76271,                0.82361,                0.55088,                0.83397,                0.73193,                0.80191,                0.46006,                 1.1398,                  1.557,                0.52281,                 1.1333,               0.002476,               0.002476,               0.002476
                     78,                0.49896,                0.53644,                0.29431,                0.82838,                0.85173,                0.76247,                0.82515,                0.55183,                0.83222,                0.73308,                0.80226,                0.46011,                 1.1416,                 1.5579,                 0.5233,                 1.1342,               0.002377,               0.002377,               0.002377
