                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.56615,                0.78856,                0.37527,                0.90063,                0.93044,                0.82213,                0.86208,                0.61879,                 0.9156,                0.79591,                0.82605,                0.54154,                   1.14,                 2.2135,                0.58352,                 1.3075,               0.007624,               0.007624,               0.007624
                     26,                0.56132,                0.77291,                0.37298,                0.90063,                0.91436,                0.83784,                0.88263,                0.62074,                0.89471,                0.80947,                 0.8402,                0.53931,                 1.1678,                 2.4007,                0.56837,                  1.339,               0.007525,               0.007525,               0.007525
                     27,                0.55468,                0.76294,                0.36858,                0.89767,                0.94097,                0.83745,                0.89003,                0.63109,                0.93493,                0.82085,                0.85559,                0.55874,                 1.1039,                 2.2354,                0.54362,                 1.2693,               0.007426,               0.007426,               0.007426
                     28,                0.55002,                0.75786,                0.36311,                0.89683,                0.92304,                0.83915,                0.88367,                0.63205,                0.90562,                0.80679,                0.84174,                0.55819,                 1.1539,                 2.3848,                0.54386,                 1.2988,               0.007327,               0.007327,               0.007327
                     29,                0.54961,                0.75877,                 0.3624,                0.89482,                0.91853,                0.84185,                0.88334,                0.62547,                0.92992,                0.79902,                0.84134,                  0.552,                 1.1605,                 2.3559,                0.55306,                 1.3315,               0.007228,               0.007228,               0.007228
                     30,                0.54527,                0.75068,                0.35865,                0.89391,                0.93506,                0.83721,                0.88966,                0.63307,                0.91087,                0.80091,                 0.8431,                0.55771,                 1.1272,                 2.3221,                 0.5513,                 1.3267,               0.007129,               0.007129,               0.007129
                     31,                0.53824,                0.74429,                 0.3555,                0.89106,                0.91896,                0.82757,                0.87896,                0.61234,                0.90617,                 0.8079,                0.84103,                0.54592,                 1.1643,                 2.3215,                0.56256,                 1.3393,                0.00703,                0.00703,                0.00703
                     32,                0.53438,                 0.7368,                0.35391,                0.89058,                0.92648,                0.84551,                0.88989,                0.62401,                 0.9125,                0.81237,                0.84973,                0.55441,                 1.1496,                 2.3551,                0.55775,                 1.3549,               0.006931,               0.006931,               0.006931
                     33,                 0.5285,                0.73056,                0.34909,                0.88832,                0.92244,                0.84727,                0.89042,                0.64224,                0.91814,                0.83696,                0.87224,                0.56571,                 1.0991,                 2.2157,                0.50198,                 1.2933,               0.006832,               0.006832,               0.006832
                     34,                0.52481,                0.72634,                0.34761,                0.88607,                0.95619,                0.84303,                0.89657,                0.62934,                0.94423,                0.83054,                0.87162,                0.57056,                 1.1537,                 2.2288,                0.52708,                 1.3385,               0.006733,               0.006733,               0.006733
                     35,                0.52306,                0.72084,                0.34366,                0.88594,                0.93171,                0.85003,                0.89671,                0.64932,                0.91872,                0.83588,                0.87203,                0.57564,                 1.1187,                 2.1559,                0.51782,                 1.2957,               0.006634,               0.006634,               0.006634
                     36,                0.51892,                0.71782,                0.34342,                0.88595,                0.92942,                0.84892,                0.89292,                0.62931,                0.90669,                0.81089,                0.84793,                0.55956,                 1.1448,                 2.3326,                0.52628,                 1.3172,               0.006535,               0.006535,               0.006535
                     37,                0.51669,                 0.7132,                0.34137,                0.88496,                0.92708,                0.83459,                0.88259,                0.63251,                0.93578,                0.80049,                0.85052,                0.56686,                 1.1636,                 2.3552,                 0.5432,                 1.3472,               0.006436,               0.006436,               0.006436
                     38,                0.51346,                0.70634,                0.33748,                0.88336,                0.93897,                0.84629,                0.89619,                0.64684,                0.92842,                0.83275,                0.86323,                0.57497,                 1.0888,                 2.2462,                0.51572,                 1.2838,               0.006337,               0.006337,               0.006337
                     39,                0.51199,                 0.7047,                0.33687,                0.88404,                0.93212,                0.84112,                0.88716,                0.63072,                0.93697,                0.80687,                0.84937,                0.57063,                 1.1274,                 2.3683,                0.54098,                 1.3227,               0.006238,               0.006238,               0.006238
                     40,                0.50531,                0.69676,                0.33307,                0.88147,                0.93378,                0.85332,                0.89856,                0.64069,                 0.9155,                0.82681,                0.86251,                0.57405,                 1.1188,                  2.366,                0.52093,                 1.3399,               0.006139,               0.006139,               0.006139
                     41,                0.50365,                0.68936,                0.33133,                0.87978,                 0.9319,                0.84743,                0.89056,                0.63254,                  0.917,                0.82943,                0.86425,                0.55989,                  1.127,                 2.3814,                0.51836,                 1.3206,                0.00604,                0.00604,                0.00604
