                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.70517,                0.72545,                0.45315,                0.87277,                0.86492,                0.77117,                0.82861,                0.54891,                0.85114,                0.72935,                0.80824,                0.46511,                 1.1097,                 1.3695,                0.56197,                 1.0178,               0.007624,               0.007624,               0.007624
                     26,                0.70514,                0.73145,                0.45286,                0.87055,                0.86979,                 0.7686,                0.82818,                0.54869,                0.85189,                0.73013,                0.80797,                0.46638,                 1.1086,                 1.3704,                0.56158,                 1.0174,               0.007525,               0.007525,               0.007525
                     27,                0.69925,                0.72129,                0.44998,                0.87107,                0.86715,                0.77273,                0.82894,                0.55028,                0.85117,                0.73065,                0.80786,                0.46588,                 1.1075,                 1.3678,                 0.5604,                 1.0173,               0.007426,               0.007426,               0.007426
                     28,                0.69829,                0.72132,                 0.4475,                0.86966,                0.86248,                0.77376,                0.82748,                0.54983,                0.85124,                0.73273,                0.80904,                0.46762,                 1.1056,                 1.3669,                0.55929,                 1.0162,               0.007327,               0.007327,               0.007327
                     29,                0.69577,                0.71838,                0.44609,                0.86908,                0.86646,                0.77273,                0.82863,                0.55019,                0.85345,                0.73211,                0.80923,                0.46895,                 1.1056,                 1.3675,                0.55892,                 1.0163,               0.007228,               0.007228,               0.007228
                     30,                0.69347,                0.71683,                0.44591,                0.86815,                0.86676,                0.77013,                0.82829,                0.55033,                 0.8514,                0.73013,                0.80912,                0.46926,                 1.1061,                 1.3724,                0.55872,                  1.016,               0.007129,               0.007129,               0.007129
                     31,                  0.689,                0.71138,                0.44223,                0.86745,                0.86663,                0.76965,                0.82832,                0.55066,                0.85194,                0.72805,                0.80643,                0.46736,                 1.1064,                 1.3767,                0.55812,                 1.0161,                0.00703,                0.00703,                0.00703
                     32,                0.68841,                0.70893,                0.44093,                0.86774,                0.86799,                0.76987,                0.82826,                0.55079,                0.84895,                0.73137,                0.80755,                0.46814,                 1.1055,                 1.3753,                0.55699,                 1.0157,               0.006931,               0.006931,               0.006931
                     33,                0.68366,                0.71004,                0.43789,                0.86484,                0.86594,                0.77176,                0.82862,                0.55079,                0.84543,                0.73403,                0.80749,                 0.4685,                 1.1057,                 1.3744,                0.55646,                 1.0157,               0.006832,               0.006832,               0.006832
                     34,                 0.6789,                0.69801,                0.43546,                0.86395,                0.86416,                0.77247,                0.82792,                0.55125,                0.84665,                0.73377,                0.80821,                0.46887,                 1.1058,                 1.3727,                0.55554,                  1.016,               0.006733,               0.006733,               0.006733
